Criptomoneda,Timestamp,Precio,Market Cap,Volumen de Transaccion
Bitcoin,2018-07-17 00:00:00.000,6741.69196028527,115637208433.391,4559363479.14029
Bitcoin,2018-07-18 00:00:00.000,7303.37305979586,125285895738.594,6194130741.14291
Bitcoin,2018-07-19 00:00:00.000,7334.77137207619,125840376647.272,4843025304.51356
Bitcoin,2018-07-20 00:00:00.000,7442.80073874832,127709804699.662,4107857510.67037
Bitcoin,2018-07-21 00:00:00.000,7331.8715232394,125820597539.219,3727831730.87535
Bitcoin,2018-07-22 00:00:00.000,7379.13727182195,126644347498.86,2892881147.24529
Bitcoin,2018-07-23 00:00:00.000,7395.8664054401,126948286633.175,5717881945.86536
Bitcoin,2018-07-24 00:00:00.000,7704.99567890457,132270404905.459,6202101797.69894
Bitcoin,2018-07-25 00:00:00.000,8422.37392335148,144602365043.072,5592076817.67613
Bitcoin,2018-07-26 00:00:00.000,8144.55348204188,139850429188.62,4086880124.49777
Bitcoin,2018-07-27 00:00:00.000,7929.07924360294,136166569453.306,3429994449.90707
Bitcoin,2018-07-28 00:00:00.000,8145.33316812067,139897416706.446,3624913497.9545
Bitcoin,2018-07-29 00:00:00.000,8192.13570223742,140716208459.568,3659115450.6126
Bitcoin,2018-07-30 00:00:00.000,8197.59357581421,140827378169.393,2598593361.85084
Bitcoin,2018-07-31 00:00:00.000,8185.92113830233,140640772123.998,3497813384.62097
Bitcoin,2018-08-01 00:00:00.000,7738.24930458621,132963528816.207,4675498855.41511
Bitcoin,2018-08-02 00:00:00.000,7612.30075368312,130813483341.758,11591125727.4228
Bitcoin,2018-08-03 00:00:00.000,7540.63315061715,129596337579.767,6834800615.47086
Bitcoin,2018-08-04 00:00:00.000,7411.66638248389,127395242323.665,5580835718.27458
Bitcoin,2018-08-05 00:00:00.000,7009.01201179392,120489906899.29,5952900997.74549
Bitcoin,2018-08-06 00:00:00.000,7036.60933127318,120977961419.314,5989412029.06753
Bitcoin,2018-08-07 00:00:00.000,6926.116778774,119089729729.274,6927841831.68844
Bitcoin,2018-08-08 00:00:00.000,6711.73242235858,115416628667.984,6729676123.90534
Bitcoin,2018-08-09 00:00:00.000,6259.5277096676,107652609456.405,6834119514.68593
